timestamps,TP9,AF7,AF8,TP10,Right AUX
1757889880.799,1.465,-31.738,145.996,-44.434,0.000
1757889880.803,-18.555,-48.340,-323.730,-23.926,0.000
1757889880.807,-132.324,-36.133,-456.055,-52.246,0.000
1757889880.811,-68.848,-19.043,-94.238,-52.246,0.000
1757889880.815,58.594,-11.719,255.859,-16.602,0.000
1757889880.819,-20.020,-29.785,-46.387,-28.809,0.000
1757889880.823,-107.910,-44.922,-414.551,-51.758,0.000
1757889880.827,-87.891,-21.484,-193.848,-72.266,0.000
1757889880.831,36.621,3.418,221.191,-50.293,0.000
1757889880.834,38.574,-14.648,70.312,-20.020,0.000
1757889880.838,-111.816,-40.527,-326.172,-42.969,0.000
1757889880.842,-118.652,-40.527,-365.234,-37.598,0.000
1757889880.846,-12.207,-17.578,-37.598,-23.438,0.000
1757889880.850,-3.418,-18.066,134.766,-41.504,0.000
1757889880.854,-64.453,-48.340,-274.902,-20.020,0.000
1757889880.858,-137.695,-42.969,-489.746,-48.340,0.000
1757889880.862,-27.344,-15.625,-48.340,-67.871,0.000
1757889880.866,65.430,-13.184,246.094,-38.086,0.000
1757889880.870,-102.051,-46.387,-140.137,-61.523,0.000
1757889880.873,-108.887,-59.082,-435.547,-49.805,0.000
1757889880.877,-38.574,-36.621,-143.066,-36.133,0.000
1757889880.881,-8.789,-25.391,233.887,-46.875,0.000
1757889880.885,-36.133,-52.734,-48.340,-21.973,0.000
1757889880.889,-155.762,-67.871,-486.328,-35.645,0.000
1757889880.893,-79.102,-32.715,-393.066,-49.805,0.000
1757889880.897,61.035,-2.441,125.000,-26.855,0.000
1757889880.901,-48.340,-31.250,71.289,-48.340,0.000
1757889880.905,-105.957,-52.734,-394.531,-48.828,0.000
1757889880.909,-65.430,-33.203,-341.309,-29.785,0.000
1757889880.913,14.648,-10.742,88.867,-20.996,0.000
1757889880.916,19.043,-21.973,183.594,-24.414,0.000
1757889880.920,-129.883,-47.363,-282.227,-45.898,0.000
1757889880.924,-109.375,-42.969,-420.898,-12.207,0.000
1757889880.928,0.488,-17.578,27.344,3.906,0.000
1757889880.932,-11.230,-11.719,239.746,-38.086,0.000
1757889880.936,-88.379,-39.062,-218.262,-55.664,0.000
1757889880.940,-135.742,-34.668,-471.680,-65.918,0.000
1757889880.944,-17.578,-9.277,-118.164,-47.363,0.000
1757889880.948,59.570,-10.742,229.004,-28.809,0.000
1757889880.952,-104.004,-38.574,-114.746,-62.988,0.000
1757889880.955,-122.559,-44.434,-463.867,-49.805,0.000
1757889880.959,-57.617,-31.250,-225.586,-32.715,0.000
1757889880.963,29.297,-22.949,208.496,-31.250,0.000
1757889880.967,6.836,-36.133,88.867,-18.066,0.000
